taxon_oid,seq_id,combinedName,protacc,idPercent,len,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore taxid,complet_lineage,complete_taxid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Order,Family,Genus,Species,Latitude,Longitude,Genome Size   * assembled,Gene Count   * assembled,Unnamed: 15
3300006046,Ga0066652_100152879,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0066652_100152879_3300006046:331-541,FN377857.1,87.79299999999999,213,10,6,6,204,970,1180,6.339999999999999e-58,235 1117310 1117310,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis caledonium;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;1117310;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_101",DOE Joint Genome Institute (JGI),3300006046,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,4911976148,14360879,
3300006046,Ga0066652_100257717,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0066652_100257717_3300006046:2-960,MT765420.1,99.46600000000001,937,5,0,1,937,542,1478,0.0,1703 2358353 2358353,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Microdominikia;Microdominikia litorea;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;2754505;2358353;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_101",DOE Joint Genome Institute (JGI),3300006046,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,4911976148,14360879,
3300006046,Ga0066652_101449682,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0066652_101449682_3300006046:65-632,FN377862.2,84.79899999999999,546,54,21,3,545,24,543,1.3099999999999997e-143,521 27381 27381,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis mosseae;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;27381;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_101",DOE Joint Genome Institute (JGI),3300006046,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,4911976148,14360879,
3300006046,Ga0066652_101981293,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0066652_101981293_3300006046:1-126,AM950209.1,97.115,104,3,0,1,104,448,551,2.04e-40,176 4876 4876,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus intraradices;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544;4876;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_101",DOE Joint Genome Institute (JGI),3300006046,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,4911976148,14360879,
3300006791,Ga0066653_10057768,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0066653_10057768_3300006791:2-662,FN377857.1,81.493,670,68,36,5,658,184,813,7.229999999999998e-137,499 1117310 1117310,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis caledonium;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;1117310;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_102",DOE Joint Genome Institute (JGI),3300006791,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,1216295312,2802608,
3300006791,Ga0066653_10113073,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0066653_10113073_3300006791:77-357,FN377860.2,95.76,283,6,4,1,278,1262,1543,8.079999999999999e-123,451 1117309 1117309,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis coronatus;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;1117309;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_102",DOE Joint Genome Institute (JGI),3300006791,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,1216295312,2802608,
3300006032,Ga0066696_10401724,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0066696_10401724_3300006032:2-260,AJ841805.1,87.029,239,19,9,2,237,1363,1592,4.789999999999999e-65,259 4876 4876,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus intraradices;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544;4876;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_145",DOE Joint Genome Institute (JGI),3300006032,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,2471321927,7105373,
3300006032,Ga0066696_10565739,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0066696_10565739_3300006032:4-264,KC164356.1,97.285,221,6,0,7,227,3939,4159,4.599999999999999e-100,375 658196 658196,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus cerebriforme;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;4875;658196;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_145",DOE Joint Genome Institute (JGI),3300006032,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,2471321927,7105373,
3300006806,Ga0079220_12703928,AllrenameHeader_data2.fa-split-10.fasta.blastout.taxid_serveur_lineage:Ga0079220_12703928_3300006806:1-458,KF848194.1,100.0,457,0,0,1,457,924,1380,0.0,845 210006 210006,Glomeromycotina;Glomeromycetes;Diversisporales;Gigasporaceae;Racocetra;Racocetra gregaria;,;131567;2759;33154;4751;112252;1913637;214504;214506;214509;36753;940663;210006;,*Microbiome,Permanent Draft,Agricultural soil microbial communities from Utah and Georgia to study Nitrogen management,Agricultural soil microbial communities from Georgia to study Nitrogen management - GA AS100,DOE Joint Genome Institute (JGI),3300006806,Soil,Unclassified,Agricultural land,Agricultural soil microbial communities from Utah and Georgia to study Nitrogen management,33.8834,-83.4195,2694943176,6329322,
3300009012,Ga0066710_100798325,AllrenameHeader_data2.fa-split-11.fasta.blastout.taxid_serveur_lineage:Ga0066710_100798325_3300009012:1-881,FN678789.1,87.896,694,39,23,172,860,943,1596,0.0,774 4876 4876,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus intraradices;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544;4876;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_159",DOE Joint Genome Institute (JGI),3300009012,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,8168811103,18023816,
3300009137,Ga0066709_100003886,AllrenameHeader_data2.fa-split-12.fasta.blastout.taxid_serveur_lineage:Ga0066709_100003886_3300009137:9125-9357,AJ841290.1,100.0,44,0,0,68,111,33,76,9.83e-12,82.4 2650738 2650738,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus prolifer;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544;2650738;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_158",DOE Joint Genome Institute (JGI),3300009137,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,7522465489,16616792,
3300009137,Ga0066709_101036554,AllrenameHeader_data2.fa-split-12.fasta.blastout.taxid_serveur_lineage:Ga0066709_101036554_3300009137:754-1089,KC515492.1,97.61200000000001,335,8,0,1,335,509,843,5.619999999999998e-160,575 1049725 1049725,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;environmental samples;uncultured Glomeraceae;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;231054;1049725;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_158",DOE Joint Genome Institute (JGI),3300009137,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,7522465489,16616792,
3300010038,Ga0126315_10257662,AllrenameHeader_data2.fa-split-13.fasta.blastout.taxid_serveur_lineage:Ga0126315_10257662_3300010038:656-1066,FN377861.1,98.29299999999999,410,6,1,1,410,1348,1756,0.0,717 1117311 1117311,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis geosporum;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;1117311;,*Microbiome,Permanent Draft,"Serpentine soil microbial communities from UC McLaughlin Reserve, CA, USA","Serpentine soil microbial communities from UC McLaughlin Reserve, CA, USA - Plot106",DOE Joint Genome Institute (JGI),3300010038,Soil,Unclassified,Unclassified,"Serpentine soil microbial communities from UC McLaughlin Reserve, CA, USA",38.8724,-122.4268,1838375872,4117624,
3300010048,Ga0126373_10611343,AllrenameHeader_data2.fa-split-14.fasta.blastout.taxid_serveur_lineage:Ga0126373_10611343_3300010048:64-855,AM950214.1,85.294,782,71,26,15,787,719,1465,0.0,767 4876 4876,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus intraradices;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544;4876;,*Microbiome,Permanent Draft,Tropical forest soil microbial communities from Panama analyzed to predict greenhouse gas emissions,Tropical forest soil microbial communities from Panama - MetaG Plot_11,DOE Joint Genome Institute (JGI),3300010048,Soil,Unclassified,Unclassified,Tropical forest soil microbial communities from Panama analyzed to predict greenhouse gas emissions,9.1086,-79.8436,4163965087,8176366,
3300010403,Ga0134123_10438382,AllrenameHeader_data2.fa-split-15.fasta.blastout.taxid_serveur_lineage:Ga0134123_10438382_3300010403:366-1004,MT765649.1,99.03399999999999,621,2,3,18,638,1,617,0.0,1110 397623 397623,Glomeromycotina;Glomeromycetes;Paraglomerales;Paraglomeraceae;Paraglomus;Paraglomus laccatum;,;131567;2759;33154;4751;112252;1913637;214504;214506;214508;144536;144537;397623;,*Microbiome,Permanent Draft,"Terrestrial soil microbial communities with and without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA","Terrestrial soil microbial communities without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA - KB3-0-3",DOE Joint Genome Institute (JGI),3300010403,Soil,Unclassified,Unclassified,"Terrestrial soil microbial communities with and without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA",42.3938,-85.3708,5318970639,12229165,
3300010403,Ga0134123_10468406,AllrenameHeader_data2.fa-split-15.fasta.blastout.taxid_serveur_lineage:Ga0134123_10468406_3300010403:154-965,MT765587.1,99.87299999999999,790,1,0,1,790,734,1523,0.0,1454 1928154 1928154,Glomeromycotina;Glomeromycetes;Paraglomerales;Paraglomeraceae;Paraglomus;unclassified Paraglomus;Paraglomus sp.;,;131567;2759;33154;4751;112252;1913637;214504;214506;214508;144536;144537;2608583;1928154;,*Microbiome,Permanent Draft,"Terrestrial soil microbial communities with and without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA","Terrestrial soil microbial communities without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA - KB3-0-3",DOE Joint Genome Institute (JGI),3300010403,Soil,Unclassified,Unclassified,"Terrestrial soil microbial communities with and without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA",42.3938,-85.3708,5318970639,12229165,
3300012285,Ga0137370_10046888,AllrenameHeader_data2.fa-split-16.fasta.blastout.taxid_serveur_lineage:Ga0137370_10046888_3300012285:46-449,FN377857.1,94.554,404,18,3,1,403,1184,1584,8.699999999999998e-174,621 1117310 1117310,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis caledonium;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;1117310;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_R_20_16 metaG",DOE Joint Genome Institute (JGI),3300012285,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,1532033347,3299724,
3300012285,Ga0137370_10091822,AllrenameHeader_data2.fa-split-16.fasta.blastout.taxid_serveur_lineage:Ga0137370_10091822_3300012285:505-838,AM950214.1,93.939,297,12,6,41,333,298,592,1.6399999999999992e-120,444 4876 4876,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus intraradices;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544;4876;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_R_20_16 metaG",DOE Joint Genome Institute (JGI),3300012285,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,1532033347,3299724,
3300012353,Ga0137367_10013120,AllrenameHeader_data2.fa-split-17.fasta.blastout.taxid_serveur_lineage:Ga0137367_10013120_3300012353:2170-2266,KC164356.1,97.561,82,2,0,12,93,1738,1819,5.1699999999999996e-30,141 658196 658196,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus cerebriforme;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;4875;658196;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_L_80_16 metaG",DOE Joint Genome Institute (JGI),3300012353,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,1903318620,3620314,
3300012353,Ga0137367_10094342,AllrenameHeader_data2.fa-split-17.fasta.blastout.taxid_serveur_lineage:Ga0137367_10094342_3300012353:1430-1761,JQ048859.1,94.19,327,17,2,6,331,517,842,1.2399999999999997e-136,497 1838035 1838035,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Septoglomus;Septoglomus deserticola;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1144751;1838035;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_L_80_16 metaG",DOE Joint Genome Institute (JGI),3300012353,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,1903318620,3620314,
3300012353,Ga0137367_10197835,AllrenameHeader_data2.fa-split-17.fasta.blastout.taxid_serveur_lineage:Ga0137367_10197835_3300012353:295-1457,EF014401.1,89.98200000000001,1138,77,18,47,1160,605,1729,0.0,1435 27381 27381,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis mosseae;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;27381;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_L_80_16 metaG",DOE Joint Genome Institute (JGI),3300012353,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,1903318620,3620314,
3300012353,Ga0137367_10320874,AllrenameHeader_data2.fa-split-17.fasta.blastout.taxid_serveur_lineage:Ga0137367_10320874_3300012353:671-1106,GU585500.1,82.55799999999999,430,75,0,1,430,2,431,6.289999999999998e-101,379 27381 27381,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis mosseae;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;27381;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_L_80_16 metaG",DOE Joint Genome Institute (JGI),3300012353,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,1903318620,3620314,
